name,year,expenses,degree,enrollment,level,control
ITT Technical Institute-Norfolk,2010,12056,235,8909,Four or more years,Private for-profit
University of Phoenix-Louisville Campus,2013,12035,233,8870,Four or more years,Private for-profit
University of Phoenix-Minneapolis St Paul Campus,2010,12032,233,8844,Four or more years,Private for-profit
University of Phoenix-Columbus Ohio Campus,2009,11995,231,8774,Four or more years,Private for-profit
City Vision College,2011,11974,231,8768,Four or more years,Private not-for-profit
University of Phoenix-Dallas Campus,2010,11974,230,8658,Four or more years,Private for-profit
University of Phoenix-West Michigan Campus,2008,11911,226,8644,Four or more years,Private for-profit
University of Phoenix-Cleveland Campus,2010,11905,226,8612,Four or more years,Private for-profit
University of Phoenix-Indianapolis Campus,2009,11865,225,8605,Four or more years,Private for-profit
University of Phoenix-Milwaukee Campus,2008,11851,221,8596,Four or more years,Private for-profit
University of Phoenix-San Diego Campus,2009,11841,217,8570,Four or more years,Private for-profit
University of Phoenix-Kansas City Campus,2008,11800,214,8502,Four or more years,Private for-profit
University of Phoenix-Chicago Campus,2008,11794,213,8482,Four or more years,Private for-profit
University of Phoenix-San Diego Campus,2007,11792,212,8476,Four or more years,Private for-profit
Vatterott College-Sunset Hills,2012,11768,210,8435,Four or more years,Private for-profit
Everest College-Springfield,2011,11767,209,8312,Four or more years,Private for-profit
University of the Potomac-VA Campus,2011,11758,208,8285,Four or more years,Private for-profit
Vatterott College-Sunset Hills,2011,11745,208,8208,Four or more years,Private for-profit
University of Phoenix-Boston Campus,2010,11725,206,8137,Four or more years,Private for-profit
Skyline College-Roanoke,2012,11717,206,8043,Four or more years,Private for-profit
University of Phoenix-Jersey City Campus,2010,11707,206,7986,Four or more years,Private for-profit
University of Phoenix-Maryland Campus,2009,11705,205,7949,Four or more years,Private for-profit
University of Phoenix-Idaho Campus,2009,11700,204,7931,Four or more years,Private for-profit
University of Phoenix-Philadelphia Campus,2008,11697,203,7908,Four or more years,Private for-profit
University of Phoenix-Hawaii Campus,2006,11656,202,7874,Four or more years,Private for-profit
University of Phoenix-Little Rock Campus,2010,11655,201,7817,Four or more years,Private for-profit
University of Phoenix-Philadelphia Campus,2009,11642,201,7802,Four or more years,Private for-profit
University of Phoenix-Detroit Campus,2008,11639,199,7696,Four or more years,Private for-profit
University of Phoenix-Pittsburgh Campus,2007,11623,198,7690,Four or more years,Private for-profit
University of Phoenix-Milwaukee Campus,2007,11617,197,7650,Four or more years,Private for-profit
University of Phoenix-Western Washington Campus,2007,11594,196,7612,Four or more years,Private for-profit
University of Phoenix-Kansas City Campus,2007,11592,195,7573,Four or more years,Private for-profit
University of Phoenix-Nashville Campus,2007,11581,194,7551,Four or more years,Private for-profit
University of Phoenix-Southern California Campus,2007,11573,193,7448,Four or more years,Private for-profit
University of Phoenix-Phoenix Campus,2007,11553,192,7422,Four or more years,Private for-profit
Kenrick Glennon Seminary,2013,11538,192,7357,Four or more years,Private not-for-profit
International Baptist College and Seminary,2011,11464,192,7319,Four or more years,Private not-for-profit
University of Phoenix-Fairfield County Campus,2011,11455,192,7221,Four or more years,Private for-profit
DeVry University-Virginia,2010,11453,192,7191,Four or more years,Private for-profit
Pima Medical Institute-Tucson,2011,11451,191,7161,Four or more years,Private for-profit
University of Phoenix-Springfield  Campus,2010,11447,191,7135,Four or more years,Private for-profit
University of Phoenix-Milwaukee Campus,2010,11382,188,7068,Four or more years,Private for-profit
University of Phoenix-Columbus Ohio Campus,2010,11369,186,7021,Four or more years,Private for-profit
Brown Mackie College-Tucson,2011,11356,186,6974,Four or more years,Private for-profit
University of Phoenix-West Michigan Campus,2010,11350,186,6909,Four or more years,Private for-profit
University of Phoenix-Detroit Campus,2010,11347,185,6905,Four or more years,Private for-profit
University of Phoenix-Maryland Campus,2010,11329,184,6872,Four or more years,Private for-profit
Chamberlain College of Nursing-Virginia,2012,11318,183,6858,At least 2 but less than 4 years,Private for-profit
University of Phoenix-Northern Virginia Campus,2010,11308,182,6837,Four or more years,Private for-profit
International Baptist College and Seminary,2012,11301,181,6810,Four or more years,Private for-profit
University of Phoenix-San Diego Campus,2010,11281,180,6753,Four or more years,Private for-profit
University of Phoenix-San Diego Campus,2008,11193,180,6718,Four or more years,Private for-profit
University of Phoenix-San Antonio Campus,2010,11185,179,6715,Four or more years,Private for-profit
University of Phoenix-West Michigan Campus,2009,11185,177,6689,Four or more years,Private for-profit
University of Phoenix-Boston Campus,2006,11162,176,6686,Four or more years,Private for-profit
University of Phoenix-Phoenix Campus,2006,11160,175,6659,Four or more years,Private for-profit
University of Phoenix-Southern California Campus,2006,11147,172,6638,Four or more years,Private for-profit
University of Phoenix-West Florida Campus,2006,11128,172,6610,Four or more years,Private for-profit
University of Phoenix-Sacramento Valley Campus,2007,11108,168,6542,Four or more years,Private for-profit
University of Phoenix-North Florida Campus,2007,11088,166,6541,Four or more years,Private for-profit
University of Phoenix-Atlanta Campus,2007,11074,166,6538,Four or more years,Private for-profit
University of Phoenix-Houston Campus,2007,11065,165,6528,Four or more years,Private for-profit
University of Phoenix-Des Moines Campus,2010,11063,164,6460,Four or more years,Private for-profit
University of Phoenix-Des Moines Campus,2011,11051,164,6444,Four or more years,Private for-profit
Argosy University-Washington DC,2012,11039,163,6358,Four or more years,Private for-profit
Missouri Tech,2011,11039,163,6325,Four or more years,Private for-profit
City Vision College,2012,11034,162,6320,Less than 2 years (below associate),Private for-profit
University of Phoenix-Louisville Campus,2010,11015,162,6319,Four or more years,Private for-profit
University of Phoenix-Bay Area Campus,2009,11012,162,6318,Four or more years,Private for-profit
University of Phoenix-Oklahoma City Campus,2010,10990,162,6307,Four or more years,Private for-profit
University of Phoenix-Detroit Campus,2009,10984,161,6298,Four or more years,Private for-profit
University of Phoenix-Southern California Campus,2008,10982,161,6281,Four or more years,Private for-profit
University of Phoenix-Cleveland Campus,2009,10981,160,6280,Four or more years,Private for-profit
University of Phoenix-Nashville Campus,2009,10977,160,6275,Four or more years,Private for-profit
University of Phoenix-Southern California Campus,2009,10975,160,6262,Four or more years,Private for-profit
University of Phoenix-Oklahoma City Campus,2006,10974,159,6239,Four or more years,Private for-profit
University of Phoenix-Puerto Rico Campus,2009,10969,159,6220,Four or more years,Private for-profit
National American University-Independence,2010,10938,155,6192,Four or more years,Private for-profit
University of Phoenix-Western Washington Campus,2006,10932,155,6161,Four or more years,Private for-profit
